,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride
137,,,,,7554631.0,,,results_vector_mlir_sparsity_80_stride_2,80,2
138,,,,,,,82.0,results_vector_mlir_sparsity_80_stride_2,80,2
139,,,0.0,,,,,results_vector_mlir_sparsity_80_stride_2,80,2
140,,,0.0,,,,,results_vector_mlir_sparsity_80_stride_3,80,3
141,,,,0.0,,,,results_vector_mlir_sparsity_80_stride_3,80,3
142,14249.0,,,,,,,results_vector_mlir_sparsity_80_stride_3,80,3
143,,,,,7456758.0,,,results_vector_mlir_sparsity_80_stride_3,80,3
144,,,,,,1384902.0,,results_vector_mlir_sparsity_80_stride_3,80,3
145,,116222.0,,,,,,results_vector_mlir_sparsity_80_stride_3,80,3
146,,,,,,,82.0,results_vector_mlir_sparsity_80_stride_3,80,3
147,,,0.0,,,,,results_vector_mlir_sparsity_85_stride_1,85,1
148,,,,0.0,,,,results_vector_mlir_sparsity_85_stride_1,85,1
149,,,,,,,82.0,results_vector_mlir_sparsity_85_stride_1,85,1
150,,,,,6421588.0,,,results_vector_mlir_sparsity_85_stride_1,85,1
151,,113926.0,,,,,,results_vector_mlir_sparsity_85_stride_1,85,1
152,14494.0,,,,,,,results_vector_mlir_sparsity_85_stride_1,85,1
153,,,,,,1261410.0,,results_vector_mlir_sparsity_85_stride_1,85,1
154,,,,,,,82.0,results_vector_mlir_sparsity_85_stride_2,85,2
155,,,,,6525745.0,,,results_vector_mlir_sparsity_85_stride_2,85,2
156,,,,0.0,,,,results_vector_mlir_sparsity_85_stride_2,85,2
157,,,,,,1266036.0,,results_vector_mlir_sparsity_85_stride_2,85,2
158,,114484.0,,,,,,results_vector_mlir_sparsity_85_stride_2,85,2
159,13942.0,,,,,,,results_vector_mlir_sparsity_85_stride_2,85,2
160,,,0.0,,,,,results_vector_mlir_sparsity_85_stride_2,85,2
161,,,,,,,82.0,results_vector_mlir_sparsity_85_stride_3,85,3
162,,,0.0,,,,,results_vector_mlir_sparsity_85_stride_3,85,3
163,14536.0,,,,,,,results_vector_mlir_sparsity_85_stride_3,85,3
164,,113969.0,,,,,,results_vector_mlir_sparsity_85_stride_3,85,3
165,,,,,,1261461.0,,results_vector_mlir_sparsity_85_stride_3,85,3
166,,,,,6570775.0,,,results_vector_mlir_sparsity_85_stride_3,85,3
167,,,,0.0,,,,results_vector_mlir_sparsity_85_stride_3,85,3
168,,,,,,1136584.0,,results_vector_mlir_sparsity_90_stride_1,90,1
169,,,,,5465321.0,,,results_vector_mlir_sparsity_90_stride_1,90,1
170,,,,0.0,,,,results_vector_mlir_sparsity_90_stride_1,90,1
171,14180.0,,,,,,,results_vector_mlir_sparsity_90_stride_1,90,1
172,,,,,,,82.0,results_vector_mlir_sparsity_90_stride_1,90,1
173,,111586.0,,,,,,results_vector_mlir_sparsity_90_stride_1,90,1
174,,,0.0,,,,,results_vector_mlir_sparsity_90_stride_1,90,1
175,,112710.0,,,,,,results_vector_mlir_sparsity_90_stride_2,90,2
176,,,,,,1142951.0,,results_vector_mlir_sparsity_90_stride_2,90,2
177,,,,,5454932.0,,,results_vector_mlir_sparsity_90_stride_2,90,2
178,,,,,,,82.0,results_vector_mlir_sparsity_90_stride_2,90,2
179,,,,0.0,,,,results_vector_mlir_sparsity_90_stride_2,90,2
180,,,0.0,,,,,results_vector_mlir_sparsity_90_stride_2,90,2
181,13802.0,,,,,,,results_vector_mlir_sparsity_90_stride_2,90,2
182,13918.0,,,,,,,results_vector_mlir_sparsity_90_stride_3,90,3
183,,112068.0,,,,,,results_vector_mlir_sparsity_90_stride_3,90,3
184,,,0.0,,,,,results_vector_mlir_sparsity_90_stride_3,90,3
185,,,,0.0,,,,results_vector_mlir_sparsity_90_stride_3,90,3
186,,,,,,,82.0,results_vector_mlir_sparsity_90_stride_3,90,3
187,,,,,5248009.0,,,results_vector_mlir_sparsity_90_stride_3,90,3
188,,,,,,1139475.0,,results_vector_mlir_sparsity_90_stride_3,90,3
189,,,,,,,82.0,results_vector_mlir_sparsity_95_stride_1,95,1
190,,108902.0,,,,,,results_vector_mlir_sparsity_95_stride_1,95,1
191,13709.0,,,,,,,results_vector_mlir_sparsity_95_stride_1,95,1
192,,,,0.0,,,,results_vector_mlir_sparsity_95_stride_1,95,1
193,,,0.0,,,,,results_vector_mlir_sparsity_95_stride_1,95,1
194,,,,,4492397.0,,,results_vector_mlir_sparsity_95_stride_1,95,1
195,,,,,,1008482.0,,results_vector_mlir_sparsity_95_stride_1,95,1
196,,,,0.0,,,,results_vector_mlir_sparsity_95_stride_2,95,2
197,,,,,4493748.0,,,results_vector_mlir_sparsity_95_stride_2,95,2
198,,,,,,,82.0,results_vector_mlir_sparsity_95_stride_2,95,2
199,13895.0,,,,,,,results_vector_mlir_sparsity_95_stride_2,95,2
200,,,0.0,,,,,results_vector_mlir_sparsity_95_stride_2,95,2
201,,,,,,1011806.0,,results_vector_mlir_sparsity_95_stride_2,95,2
202,,109269.0,,,,,,results_vector_mlir_sparsity_95_stride_2,95,2
203,,,,,,,82.0,results_vector_mlir_sparsity_95_stride_3,95,3
204,,,,0.0,,,,results_vector_mlir_sparsity_95_stride_3,95,3
205,,,,,,1014380.0,,results_vector_mlir_sparsity_95_stride_3,95,3
206,,109543.0,,,,,,results_vector_mlir_sparsity_95_stride_3,95,3
207,13823.0,,,,,,,results_vector_mlir_sparsity_95_stride_3,95,3
208,,,0.0,,,,,results_vector_mlir_sparsity_95_stride_3,95,3
209,,,,,4469481.0,,,results_vector_mlir_sparsity_95_stride_3,95,3
210,,,,0.0,,,,results_vector_mlir_sparsity_95_stride_4,95,4
211,,,,,,,81.0,results_vector_mlir_sparsity_95_stride_4,95,4
212,,,,,,1007568.0,,results_vector_mlir_sparsity_95_stride_4,95,4
213,,108584.0,,,,,,results_vector_mlir_sparsity_95_stride_4,95,4
214,13476.0,,,,,,,results_vector_mlir_sparsity_95_stride_4,95,4
215,,,0.0,,,,,results_vector_mlir_sparsity_95_stride_4,95,4
216,,,,,4441876.0,,,results_vector_mlir_sparsity_95_stride_4,95,4
