,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride,Vector Size
177,,,,,,,82.0,results_vector_mlir_sparsity_90_stride_2,90,2,4
178,,,,,4275686.0,,,results_vector_mlir_sparsity_90_stride_2,90,2,4
179,,,,,,1056725.0,,results_vector_mlir_sparsity_90_stride_2,90,2,4
180,,123790.0,,,,,,results_vector_mlir_sparsity_90_stride_2,90,2,4
181,13428.0,,,,,,,results_vector_mlir_sparsity_90_stride_2,90,2,4
182,,,0.0,,,,,results_vector_mlir_sparsity_90_stride_3,90,3,4
183,,,,0.0,,,,results_vector_mlir_sparsity_90_stride_3,90,3,4
184,,,,,,,82.0,results_vector_mlir_sparsity_90_stride_3,90,3,4
185,,,,,4239627.0,,,results_vector_mlir_sparsity_90_stride_3,90,3,4
186,,,,,,1058847.0,,results_vector_mlir_sparsity_90_stride_3,90,3,4
187,,123960.0,,,,,,results_vector_mlir_sparsity_90_stride_3,90,3,4
188,13536.0,,,,,,,results_vector_mlir_sparsity_90_stride_3,90,3,4
189,,,0.0,,,,,results_vector_mlir_sparsity_95_stride_1,95,1,4
190,,,,0.0,,,,results_vector_mlir_sparsity_95_stride_1,95,1,4
191,,,,,,,82.0,results_vector_mlir_sparsity_95_stride_1,95,1,4
192,,,,,3942504.0,,,results_vector_mlir_sparsity_95_stride_1,95,1,4
193,,,,,,976294.0,,results_vector_mlir_sparsity_95_stride_1,95,1,4
194,,115911.0,,,,,,results_vector_mlir_sparsity_95_stride_1,95,1,4
195,13752.0,,,,,,,results_vector_mlir_sparsity_95_stride_1,95,1,4
196,,,0.0,,,,,results_vector_mlir_sparsity_95_stride_2,95,2,4
197,,,,0.0,,,,results_vector_mlir_sparsity_95_stride_2,95,2,4
198,,,,,,,82.0,results_vector_mlir_sparsity_95_stride_2,95,2,4
199,,,,,3872872.0,,,results_vector_mlir_sparsity_95_stride_2,95,2,4
200,,,,,,968265.0,,results_vector_mlir_sparsity_95_stride_2,95,2,4
201,,114723.0,,,,,,results_vector_mlir_sparsity_95_stride_2,95,2,4
202,13345.0,,,,,,,results_vector_mlir_sparsity_95_stride_2,95,2,4
203,,,0.0,,,,,results_vector_mlir_sparsity_95_stride_3,95,3,4
204,,,,0.0,,,,results_vector_mlir_sparsity_95_stride_3,95,3,4
205,,,,,,,82.0,results_vector_mlir_sparsity_95_stride_3,95,3,4
206,,,,,3913430.0,,,results_vector_mlir_sparsity_95_stride_3,95,3,4
207,,,,,,973199.0,,results_vector_mlir_sparsity_95_stride_3,95,3,4
208,,115360.0,,,,,,results_vector_mlir_sparsity_95_stride_3,95,3,4
209,13316.0,,,,,,,results_vector_mlir_sparsity_95_stride_3,95,3,4
210,,,0.0,,,,,results_vector_mlir_sparsity_95_stride_4,95,4,4
211,,,,0.0,,,,results_vector_mlir_sparsity_95_stride_4,95,4,4
212,,,,,,,82.0,results_vector_mlir_sparsity_95_stride_4,95,4,4
213,,,,,3931444.0,,,results_vector_mlir_sparsity_95_stride_4,95,4,4
214,,,,,,976154.0,,results_vector_mlir_sparsity_95_stride_4,95,4,4
215,,115747.0,,,,,,results_vector_mlir_sparsity_95_stride_4,95,4,4
216,13364.0,,,,,,,results_vector_mlir_sparsity_95_stride_4,95,4,4
217,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,8
218,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_1,50,1,8
219,,,,,,,83.0,results_vector_mlir_sparsity_50_stride_1,50,1,8
220,,,,,6927601.0,,,results_vector_mlir_sparsity_50_stride_1,50,1,8
221,,,,,,1413375.0,,results_vector_mlir_sparsity_50_stride_1,50,1,8
222,,160747.0,,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,8
223,13609.0,,,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,8
224,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,8
225,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_2,50,2,8
226,,,,,,,84.0,results_vector_mlir_sparsity_50_stride_2,50,2,8
227,,,,,6854047.0,,,results_vector_mlir_sparsity_50_stride_2,50,2,8
228,,,,,,1417539.0,,results_vector_mlir_sparsity_50_stride_2,50,2,8
229,,161498.0,,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,8
230,13440.0,,,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,8
231,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,8
232,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_3,50,3,8
233,,,,,,,83.0,results_vector_mlir_sparsity_50_stride_3,50,3,8
234,,,,,6886850.0,,,results_vector_mlir_sparsity_50_stride_3,50,3,8
235,,,,,,1411436.0,,results_vector_mlir_sparsity_50_stride_3,50,3,8
236,,160772.0,,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,8
237,13563.0,,,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,8
238,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,8
239,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_1,55,1,8
240,,,,,,,84.0,results_vector_mlir_sparsity_55_stride_1,55,1,8
241,,,,,6609979.0,,,results_vector_mlir_sparsity_55_stride_1,55,1,8
242,,,,,,1364475.0,,results_vector_mlir_sparsity_55_stride_1,55,1,8
243,,156099.0,,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,8
244,13431.0,,,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,8
245,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,8
246,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_2,55,2,8
247,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_2,55,2,8
248,,,,,6551451.0,,,results_vector_mlir_sparsity_55_stride_2,55,2,8
249,,,,,,1348523.0,,results_vector_mlir_sparsity_55_stride_2,55,2,8
250,,153991.0,,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,8
251,13493.0,,,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,8
252,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,8
253,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_3,55,3,8
254,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_3,55,3,8
255,,,,,6554258.0,,,results_vector_mlir_sparsity_55_stride_3,55,3,8
256,,,,,,1353246.0,,results_vector_mlir_sparsity_55_stride_3,55,3,8
257,,154439.0,,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,8
258,13463.0,,,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,8
259,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,8
260,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_1,60,1,8
261,,,,,,,83.0,results_vector_mlir_sparsity_60_stride_1,60,1,8
262,,,,,6266219.0,,,results_vector_mlir_sparsity_60_stride_1,60,1,8
263,,,,,,1308851.0,,results_vector_mlir_sparsity_60_stride_1,60,1,8
264,,150120.0,,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,8
265,13478.0,,,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,8
266,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,8
267,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_2,60,2,8
268,,,,,,,82.0,results_vector_mlir_sparsity_60_stride_2,60,2,8
269,,,,,6228155.0,,,results_vector_mlir_sparsity_60_stride_2,60,2,8
270,,,,,,1297359.0,,results_vector_mlir_sparsity_60_stride_2,60,2,8
271,,148586.0,,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,8
272,13692.0,,,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,8
273,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,8
274,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_3,60,3,8
275,,,,,,,83.0,results_vector_mlir_sparsity_60_stride_3,60,3,8
276,,,,,6164654.0,,,results_vector_mlir_sparsity_60_stride_3,60,3,8
277,,,,,,1296947.0,,results_vector_mlir_sparsity_60_stride_3,60,3,8
278,,148736.0,,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,8
279,13476.0,,,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,8
280,,,0.0,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,8
281,,,,0.0,,,,results_vector_mlir_sparsity_65_stride_1,65,1,8
282,,,,,,,83.0,results_vector_mlir_sparsity_65_stride_1,65,1,8
283,,,,,5893176.0,,,results_vector_mlir_sparsity_65_stride_1,65,1,8
284,,,,,,1249780.0,,results_vector_mlir_sparsity_65_stride_1,65,1,8
285,,143871.0,,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,8
286,13610.0,,,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,8
287,,,0.0,,,,,results_vector_mlir_sparsity_65_stride_2,65,2,8
288,,,,0.0,,,,results_vector_mlir_sparsity_65_stride_2,65,2,8
289,,,,,,,82.0,results_vector_mlir_sparsity_65_stride_2,65,2,8
290,,,,,5923868.0,,,results_vector_mlir_sparsity_65_stride_2,65,2,8
291,,,,,,1249351.0,,results_vector_mlir_sparsity_65_stride_2,65,2,8
292,,143768.0,,,,,,results_vector_mlir_sparsity_65_stride_2,65,2,8
293,13534.0,,,,,,,results_vector_mlir_sparsity_65_stride_2,65,2,8
294,,,0.0,,,,,results_vector_mlir_sparsity_65_stride_3,65,3,8
295,,,,0.0,,,,results_vector_mlir_sparsity_65_stride_3,65,3,8
296,,,,,,,83.0,results_vector_mlir_sparsity_65_stride_3,65,3,8
297,,,,,5871620.0,,,results_vector_mlir_sparsity_65_stride_3,65,3,8
298,,,,,,1252774.0,,results_vector_mlir_sparsity_65_stride_3,65,3,8
299,,144395.0,,,,,,results_vector_mlir_sparsity_65_stride_3,65,3,8
300,13527.0,,,,,,,results_vector_mlir_sparsity_65_stride_3,65,3,8
301,,,0.0,,,,,results_vector_mlir_sparsity_70_stride_1,70,1,8
302,,,,0.0,,,,results_vector_mlir_sparsity_70_stride_1,70,1,8
303,,,,,,,83.0,results_vector_mlir_sparsity_70_stride_1,70,1,8
304,,,,,5512390.0,,,results_vector_mlir_sparsity_70_stride_1,70,1,8
305,,,,,,1204769.0,,results_vector_mlir_sparsity_70_stride_1,70,1,8
306,,139559.0,,,,,,results_vector_mlir_sparsity_70_stride_1,70,1,8
307,13453.0,,,,,,,results_vector_mlir_sparsity_70_stride_1,70,1,8
308,,,0.0,,,,,results_vector_mlir_sparsity_70_stride_2,70,2,8
309,,,,0.0,,,,results_vector_mlir_sparsity_70_stride_2,70,2,8
310,,,,,,,83.0,results_vector_mlir_sparsity_70_stride_2,70,2,8
311,,,,,5735364.0,,,results_vector_mlir_sparsity_70_stride_2,70,2,8
312,,,,,,1200026.0,,results_vector_mlir_sparsity_70_stride_2,70,2,8
313,,138992.0,,,,,,results_vector_mlir_sparsity_70_stride_2,70,2,8
314,13551.0,,,,,,,results_vector_mlir_sparsity_70_stride_2,70,2,8
315,,,0.0,,,,,results_vector_mlir_sparsity_70_stride_3,70,3,8
316,,,,0.0,,,,results_vector_mlir_sparsity_70_stride_3,70,3,8
317,,,,,,,83.0,results_vector_mlir_sparsity_70_stride_3,70,3,8
318,,,,,5608405.0,,,results_vector_mlir_sparsity_70_stride_3,70,3,8
319,,,,,,1200253.0,,results_vector_mlir_sparsity_70_stride_3,70,3,8
320,,138729.0,,,,,,results_vector_mlir_sparsity_70_stride_3,70,3,8
321,13680.0,,,,,,,results_vector_mlir_sparsity_70_stride_3,70,3,8
322,,,0.0,,,,,results_vector_mlir_sparsity_75_stride_1,75,1,8
323,,,,0.0,,,,results_vector_mlir_sparsity_75_stride_1,75,1,8
324,,,,,,,82.0,results_vector_mlir_sparsity_75_stride_1,75,1,8
