value,unit,event,percentage,time,enabled_time,rate,description,value_numeric,file_name,full_path,directory,test_type,vector_size,operation_type,test_id
3589690.0,,cycles,2.06%,1945750,100.0,1.789,GHz,3589690.0,elementwise_95_2,./results_scalar/mlir_files_elementwise/elementwise_95_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
979716.0,,instructions,0.72%,1945750,100.0,0.27,insn per cycle,979716.0,elementwise_95_2,./results_scalar/mlir_files_elementwise/elementwise_95_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
125435.0,,branches,0.57%,1945750,100.0,62.5,M/sec,125435.0,elementwise_95_2,./results_scalar/mlir_files_elementwise/elementwise_95_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13424.0,,branch-misses,1.03%,1945750,100.0,10.7,of all branches,13424.0,elementwise_95_2,./results_scalar/mlir_files_elementwise/elementwise_95_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.08,msec,task-clock,1.21%,2078708,100.0,0.533,CPUs utilized,2.08,elementwise_55_2,./results_scalar/mlir_files_elementwise/elementwise_55_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3723358.0,,cycles,1.20%,2078708,100.0,1.792,GHz,3723358.0,elementwise_55_2,./results_scalar/mlir_files_elementwise/elementwise_55_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1059374.0,,instructions,0.57%,2078708,100.0,0.28,insn per cycle,1059374.0,elementwise_55_2,./results_scalar/mlir_files_elementwise/elementwise_55_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
131384.0,,branches,0.43%,2078708,100.0,63.226,M/sec,131384.0,elementwise_55_2,./results_scalar/mlir_files_elementwise/elementwise_55_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13685.0,,branch-misses,0.87%,2078708,100.0,10.42,of all branches,13685.0,elementwise_55_2,./results_scalar/mlir_files_elementwise/elementwise_55_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.08,msec,task-clock,0.96%,2077333,100.0,0.53,CPUs utilized,2.08,elementwise_55_3,./results_scalar/mlir_files_elementwise/elementwise_55_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
